t,x
2.189,30.565886260000006
2.19,30.593640660000005
2.191,30.621415584000005
2.192,30.649211040000004
2.193,30.677027036000005
2.194,30.704863580000005
2.195,30.732720680000003
2.196,30.760598344
2.197,30.78849658
2.198,30.816415396
2.199,30.8443548
2.2,30.8723148
2.201,30.900295404
2.202,30.92829662
2.203,30.956318456
2.204,30.98436092
2.205,31.01242402
2.206,31.040507764
2.207,31.06861216
2.208,31.096737216
2.209,31.124882940000003
2.21,31.153049340000003
2.211,31.181236424
2.212,31.2094442
2.213,31.237672676
2.214,31.26592186
2.215,31.29419176
2.216,31.322482384
2.217,31.35079374
2.218,31.379125836
2.219,31.40747868
2.22,31.43585228
2.221,31.464246644
2.222,31.49266178
2.223,31.521097695999998
2.224,31.549554399999998
2.225,31.5780319
2.226,31.606530204
2.227,31.635049319999997
2.228,31.663589255999998
2.229,31.69215002
2.23,31.72073162
2.231,31.749334064
2.232,31.77795736
2.233,31.806601515999997
2.234,31.835266539999996
2.235,31.863952439999995
2.236,31.892659223999996
2.237,31.921386899999995
2.238,31.950135475999996
2.239,31.978904959999998
2.24,32.00769536
2.241,32.036506684
2.242,32.065338940000004
2.243,32.094192136000004
2.244,32.12306628
2.245,32.15196138
2.246,32.180877444000004
2.247,32.209814480000006
2.248,32.238772496
2.249,32.2677515
2.25,32.296751500000006
2.251,32.32577250400001
2.2520000000000002,32.354814520000005
2.253,32.383877556
2.254,32.412961620000004
2.255,32.44206672000001
2.2560000000000002,32.47119286400001
2.257,32.500340060000006
2.258,32.529508316000005
2.259,32.558697640000005
2.2600000000000002,32.58790804
2.261,32.617139524
2.262,32.6463921
2.263,32.675665776
2.2640000000000002,32.70496056
2.265,32.734276460000004
2.266,32.763613484000004
2.267,32.792971640000005
2.2680000000000002,32.82235093600001
2.269,32.85175138
2.27,32.88117298
2.271,32.910615744000005
2.2720000000000002,32.940079680000004
2.273,32.969564796
2.274,32.9990711
2.275,33.0285986
2.2760000000000002,33.058147304
2.277,33.08771722
2.278,33.117308356
2.279,33.146920720000004
2.2800000000000002,33.17655432
2.281,33.206209164
2.282,33.23588526
2.283,33.265582616
2.2840000000000003,33.29530124
2.285,33.32504114
2.286,33.354802324000005
2.287,33.384584800000006
2.2880000000000003,33.41438857600001
2.289,33.44421366000001
2.29,33.474060060000006
2.291,33.503927784000005
2.2920000000000003,33.53381684000001
2.293,33.563727236000005
2.294,33.59365898000001
2.295,33.62361208000001
2.2960000000000003,33.65358654400001
2.297,33.683582380000004
2.298,33.713599596
2.299,33.7436382
2.3000000000000003,33.7736982
2.301,33.803779604
2.302,33.83388242
2.303,33.864006656
2.3040000000000003,33.89415232
2.305,33.92431942
2.306,33.954507964
2.307,33.984717960000005
2.308,34.01494941600001
2.309,34.04520234000001
2.31,34.07547674000001
2.311,34.10577262400001
2.312,34.13609000000001
2.313,34.16642887600001
2.314,34.19678926000001
2.315,34.22717116000001
2.316,34.25757458400001
2.317,34.28799954000001
2.318,34.31844603600001
2.319,34.348914080000014
2.32,34.37940368000002
2.321,34.40991484400002
2.322,34.44044758000002
2.323,34.47100189600002
2.324,34.50157780000002
2.325,34.53217530000002
2.326,34.56279440400002
2.327,34.593435120000024
2.328,34.62409745600002
2.329,34.65478142000002
2.33,34.68548702000002
2.331,34.716214264000016
2.332,34.746963160000014
2.333,34.777733716000014
2.334,34.80852594000002
2.335,34.839339840000015
2.336,34.87017542400002
2.337,34.901032700000016
2.338,34.93191167600001
2.339,34.962812360000015
2.34,34.99373476000002
2.341,35.02467888400002
2.342,35.05564474000002
2.343,35.08663233600002
2.344,35.11764168000002
2.345,35.14867278000002
2.346,35.17972564400002
2.347,35.21080028000002
2.348,35.24189669600002
2.349,35.27301490000002
2.35,35.30415490000002
2.351,35.33531670400002
2.352,35.36650032000002
2.353,35.39770575600002
2.354,35.428933020000024
2.355,35.46018212000002
2.356,35.49145306400002
2.357,35.52274586000002
2.358,35.55406051600002
2.359,35.58539704000002
2.36,35.61675544000002
2.361,35.64813572400002
2.362,35.67953790000002
2.363,35.71096197600002
2.364,35.74240796000002
2.365,35.773875860000025
2.366,35.80536568400002
2.367,35.83687744000002
2.368,35.86841113600002
2.369,35.89996678000002
2.37,35.93154438000002
2.371,35.96314394400002
2.372,35.99476548000002
2.373,36.02640899600002
2.374,36.058074500000025
2.375,36.08976200000002
2.376,36.12147150400002
2.3770000000000002,36.15320302000002
2.378,36.18495655600002
2.379,36.21673212000002
2.38,36.248529720000015
2.3810000000000002,36.28034936400002
2.382,36.31219106000002
2.383,36.34405481600002
2.384,36.37594064000002
2.3850000000000002,36.40784854000002
2.386,36.43977852400002
2.387,36.47173060000002
2.388,36.50370477600002
2.3890000000000002,36.53570106000002
2.39,36.56771946000002
2.391,36.59975998400002
2.392,36.631822640000024
2.3930000000000002,36.663907436000024
2.394,36.69601438000002
2.395,36.72814348000002
2.396,36.76029474400002
2.3970000000000002,36.79246818000002
2.398,36.824663796000024
2.399,36.85688160000002
2.4,36.889121600000024
2.4010000000000002,36.92138380400002
2.402,36.953668220000026
2.403,36.98597485600003
2.404,37.01830372000003
2.4050000000000002,37.05065482000003
2.406,37.08302816400003
2.407,37.11542376000003
2.408,37.14784161600003
2.4090000000000003,37.18028174000003
2.41,37.21274414000003
2.411,37.24522882400003
2.412,37.27773580000003
2.4130000000000003,37.31026507600003
2.414,37.342816660000025
2.415,37.37539056000003
2.416,37.40798678400003
2.4170000000000003,37.44060534000003
2.418,37.47324623600003
2.419,37.50590948000003
2.42,37.53859508000003
2.4210000000000003,37.571303044000025
2.422,37.604033380000025
2.423,37.63678609600002
2.424,37.669561200000025
2.4250000000000003,37.702358700000026
2.426,37.735178604000026
2.427,37.768020920000026
2.428,37.80088565600003
2.4290000000000003,37.83377282000003
2.43,37.86668242000003
2.431,37.89961446400003
2.432,37.93256896000003
2.433,37.96554591600003
2.434,37.998545340000035
2.435,38.03156724000004
2.436,38.06461162400004
2.437,38.097678500000036
2.438,38.130767876000036
2.439,38.163879760000036
2.44,38.19701416000004
2.441,38.230171084000034
2.442,38.26335054000003
2.443,38.296552536000036
2.444,38.329777080000035
2.445,38.36302418000003
2.446,38.396293844000034
2.447,38.429586080000036
2.448,38.462900896000036
2.449,38.49623830000004
2.45,38.52959830000004
2.451,38.56298090400004
2.452,38.59638612000004
2.453,38.62981395600004
2.454,38.66326442000004
2.455,38.69673752000004
2.456,38.73023326400004
2.457,38.76375166000004
2.458,38.79729271600004
2.459,38.830856440000034
2.46,38.86444284000003
2.461,38.89805192400003
2.462,38.93168370000003
2.463,38.96533817600003
2.464,38.99901536000003
2.465,39.03271526000003
2.466,39.06643788400003
2.467,39.10018324000003
2.468,39.13395133600003
2.469,39.16774218000003
2.47,39.201555780000035
2.471,39.23539214400004
2.472,39.269251280000034
2.473,39.30313319600003
2.474,39.337037900000034
2.475,39.37096540000003
2.476,39.40491570400003
2.477,39.43888882000003
2.478,39.47288475600003
2.479,39.50690352000003
2.48,39.54094512000003
2.481,39.575009564000034
2.482,39.60909686000004
2.483,39.643207016000034
2.484,39.67734004000003
2.485,39.711495940000034
2.486,39.74567472400003
2.487,39.779876400000035
2.488,39.814100976000034
2.489,39.84834846000003
2.49,39.88261886000003
2.491,39.916912184000026
2.492,39.95122844000002
2.493,39.98556763600002
2.494,40.01992978000002
2.495,40.05431488000002
2.496,40.08872294400002
2.497,40.12315398000002
2.498,40.15760799600002
2.499,40.19208500000002
2.5,40.22658500000002
2.501,40.26110800400002
2.5020000000000002,40.29565402000002
2.503,40.33022305600002
2.504,40.364815120000024
2.505,40.39943022000003
2.5060000000000002,40.43406836400003
2.507,40.46872956000003
2.508,40.50341381600003
2.509,40.53812114000003
2.5100000000000002,40.57285154000003
2.511,40.60760502400003
2.512,40.64238160000003
2.513,40.67718127600003
2.5140000000000002,40.71200406000003
2.515,40.74684996000003
2.516,40.78171898400003
2.517,40.81661114000003
2.5180000000000002,40.85152643600003
2.519,40.88646488000003
2.52,40.92142648000003
2.521,40.95641124400003
2.5220000000000002,40.99141918000003
2.523,41.02645029600003
2.524,41.06150460000003
2.525,41.09658210000003
2.5260000000000002,41.13168280400003
2.527,41.16680672000003
2.528,41.20195385600003
2.529,41.237124220000034
2.5300000000000002,41.27231782000003
2.531,41.30753466400003
2.532,41.34277476000003
2.533,41.378038116000035
2.5340000000000003,41.413324740000036
2.535,41.44863464000004
2.536,41.48396782400004
2.537,41.51932430000004
2.5380000000000003,41.554704076000036
2.539,41.59010716000004
2.54,41.62553356000004
2.541,41.66098328400004
2.5420000000000003,41.69645634000004
2.543,41.73195273600004
2.544,41.76747248000004
2.545,41.803015580000036
2.5460000000000003,41.838582044000034
2.547,41.874171880000034
2.548,41.909785096000036
2.549,41.94542170000003
2.5500000000000003,41.98108170000003
2.551,42.01676510400003
2.552,42.05247192000003
2.553,42.08820215600003
2.5540000000000003,42.12395582000003
2.555,42.159732920000025
2.556,42.19553346400002
2.557,42.23135746000002
2.5580000000000003,42.26720491600002
2.559,42.30307584000002
2.56,42.338970240000016
2.561,42.374888124000016
2.562,42.41082950000001
2.563,42.446794376000014
2.564,42.48278276000001
2.565,42.51879466000001
2.566,42.55483008400001
2.567,42.59088904000001
2.568,42.626971536000006
2.569,42.66307758000001
2.57,42.69920718000001
2.571,42.73536034400001
2.572,42.77153708000001
2.573,42.80773739600001
2.574,42.84396130000001
2.575,42.88020880000001
2.576,42.91647990400001
2.577,42.952774620000014
2.578,42.989092956000015
2.579,43.025434920000016
2.58,43.06180052000002
2.581,43.09818976400002
2.582,43.13460266000002
2.583,43.17103921600002
2.584,43.20749944000002
2.585,43.24398334000002
2.586,43.28049092400002
2.587,43.31702220000002
2.588,43.353577176000016
2.589,43.390155860000014
2.59,43.426758260000014
2.591,43.463384384000015
2.592,43.50003424000001
2.593,43.53670783600001
2.594,43.57340518000001
2.595,43.61012628000001
2.596,43.64687114400001
2.597,43.68363978000001
2.598,43.720432196000004
2.599,43.7572484
2.6,43.7940884
2.601,43.830952204
2.602,43.86783982
2.603,43.904751256
2.604,43.94168652
2.605,43.978645619999995
2.606,44.015628564
2.607,44.05263536
2.608,44.089666015999995
2.609,44.126720539999994
2.61,44.16379893999999
2.611,44.20090122399999
2.612,44.23802739999999
2.613,44.275177475999996
2.614,44.312351459999995
2.615,44.34954936
2.616,44.386771184
2.617,44.424016939999994
2.618,44.461286636
2.619,44.49858028
2.62,44.53589788
2.621,44.573239444
2.622,44.610604980000005
2.623,44.647994496
2.624,44.685408
2.625,44.722845500000005
2.626,44.760307004000005
2.6270000000000002,44.79779252
2.628,44.835302056
2.629,44.872835620000004
2.63,44.91039322
2.6310000000000002,44.947974864
2.632,44.98558056
2.633,45.023210316000004
2.634,45.06086414000001
2.6350000000000002,45.098542040000005
2.636,45.13624402400001
2.637,45.173970100000005
2.638,45.21172027600001
2.6390000000000002,45.24949456000001
2.64,45.28729296000001
2.641,45.32511548400001
2.642,45.36296214000001
2.6430000000000002,45.40083293600001
2.644,45.43872788000001
2.645,45.47664698000001
2.646,45.51459024400001
2.6470000000000002,45.552557680000014
2.648,45.59054929600001
2.649,45.62856510000001
2.65,45.66660510000001
2.6510000000000002,45.704669304000014
2.652,45.742757720000014
2.653,45.780870356000015
2.654,45.81900722000002
2.6550000000000002,45.85716832000002
2.656,45.89535366400002
2.657,45.93356326000002
2.658,45.97179711600002
2.6590000000000003,46.01005524000002
2.66,46.04833764000002
2.661,46.08664432400002
2.662,46.12497530000002
2.6630000000000003,46.163330576000014
2.664,46.20171016000001
2.665,46.24011406000001
2.666,46.27854228400001
2.6670000000000003,46.316994840000014
2.668,46.35547173600001
2.669,46.393972980000015
2.67,46.432498580000015
2.6710000000000003,46.47104854400001
2.672,46.509622880000016
2.673,46.54822159600002
2.674,46.58684470000002
2.6750000000000003,46.625492200000025
2.676,46.66416410400002
2.677,46.70286042000002
2.678,46.741581156000024
2.6790000000000003,46.78032632000002
2.68,46.819095920000024
2.681,46.85788996400002
2.682,46.89670846000002
2.6830000000000003,46.935551416000024
2.684,46.97441884000003
2.685,47.01331074000003
2.686,47.05222712400003
2.6870000000000003,47.091168000000025
2.688,47.130133376000025
2.689,47.16912326000003
2.69,47.20813766000003
2.691,47.24717658400003
2.692,47.28624004000003
2.693,47.32532803600003
2.694,47.36444058000003
2.695,47.403577680000026
2.696,47.442739344000024
2.697,47.48192558000002
2.698,47.521136396000024
2.699,47.56037180000003
2.7,47.599631800000026
2.701,47.63891640400003
2.702,47.67822562000003
2.703,47.717559456000025
2.704,47.75691792000003
2.705,47.79630102000003
2.706,47.83570876400003
2.707,47.875141160000034
2.708,47.91459821600004
2.709,47.954079940000035
2.71,47.993586340000036
2.711,48.03311742400003
2.712,48.07267320000003
2.713,48.11225367600003
2.714,48.15185886000003
2.715,48.191488760000034
2.716,48.231143384000035
2.717,48.270822740000035
2.718,48.31052683600004
